sector,Name,symbol,code,year,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
Energy,Cenovus Energy Inc,CVE,EN 07,2013,1.48,1.15,0.65,0.94,1.48,0.0666,0.0355,0.7397,0.0262,0.88,0.6057,0.3943,1.5361,-5.01,3.22,4.22,0.23,11.35,11.38,0.74,10.19,"3,621,000",7.2,14.0,-269.5,1.7,1.6,38.1,2.3,0.484,5.1,7,2
Energy,Cenovus Energy Inc,CVE,EN 07,2014,1.42,1.0,0.3,1.19,1.42,0.073,0.0379,0.7954,0.0301,0.98,0.5875,0.4125,1.4244,-5.36,12.87,3.31,0.24,12.68,13.42,0.8,15.87,"4,387,000",5.4,10.3,30.5,1.4,1.1,15.7,1.7,1.0648,5.1,7,2
Energy,Cenovus Energy Inc,CVE,EN 07,2015,3.48,3.05,2.21,0.79,3.48,0.0499,0.0536,0.447,0.024,1.12,0.5196,0.4804,1.0814,-3.97,4.91,5.98,0.11,12.93,10.18,0.45,2.50,"2,242,000",6.5,48.5,137.9,0.9,1.1,18.5,1.1,0.64,5.6,4,2
Energy,Cenovus Energy Inc,CVE,EN 07,2016,2.55,2.09,1.39,0.32,2.55,-0.047,-0.0495,0.4357,-0.0216,-0.55,0.5411,0.4589,1.1793,1.78,2.98,30.99,0.06,8.03,6.67,0.44,2.65,"441,000",45.3,-16.5,-82.7,1.1,1.8,-19.0,1.5,0.2,5.2,5,2
Energy,Cenovus Energy Inc,CVE,EN 07,2017,1.13,0.82,0.14,0.69,1.13,0.1685,0.1975,0.4164,0.0822,2.06,0.5119,0.4881,1.0486,-5.35,0.74,9.56,0.15,9.89,10.51,0.42,29.80,"2,192,000",9.3,58.0,32.4,0.8,1.7,5.0,0.7,0.2,4.6,6,2
Energy,Cenovus Energy Inc,CVE,EN 07,2018,1.23,0.84,0.3,0.83,1.23,-0.1528,-0.1281,0.5926,-0.0759,-2.37,0.5034,0.4966,1.0136,6.90,1.30,6.68,0.12,16.65,16.84,0.59,35.03,"2,649,000",10.3,-16.2,19.0,0.7,0.9,-5.0,0.6,0.2,4.2,3,2
Energy,Cenovus Energy Inc,CVE,EN 07,2019,1.3,0.69,0.07,1.3,1.3,0.1143,0.1068,0.5752,0.0614,1.79,0.4624,0.5376,0.86,-3.93,1.13,4.13,0.2,10.48,14.17,0.58,26.92,"3,994,000",6.0,-200.8,9.3,0.9,1.2,22.2,0.8,0.25,5.2,7,2
Energy,Cenovus Energy Inc,CVE,EN 07,2020,1.26,0.8,0.16,0.12,1.26,-0.1424,-0.1757,0.4133,-0.0726,-1.94,0.4902,0.5098,0.9615,5.87,0.27,32.92,0.02,11.35,11.71,0.41,21.95,"488,000",24.9,-9.6,44.8,0.7,1.3,-4.5,0.6,0.0,4.0,2,2
Energy,Cenovus Energy Inc,CVE,EN 07,2021,1.64,1.1,0.39,0.81,1.64,0.0249,0.0127,0.8568,0.0108,0.27,0.5637,0.4363,1.2918,-2.87,1.40,3.77,0.19,9.21,16.63,0.86,9.90,"8,092,000",7.4,22.2,14.8,1.1,1.3,38.4,1.3,0.14,5.3,7,2
Energy,Cenovus Energy Inc,CVE,EN 07,2022,1.55,1.01,0.56,1.42,1.55,0.2338,0.0964,1.1974,0.1154,3.29,0.5062,0.4938,1.025,-16.73,2.28,2.16,0.4,11.80,22.15,1.2,15.17,"13,098,000",4.6,6.4,8.2,1.5,0.9,9.6,1.9,0.42,6.3,8,2
Energy,Crescent Point Energy,CPG,EN 08,2013,0.38,0.38,0.02,1.98,0.38,0.017,0.0503,0.2263,0.0114,0.38,0.3326,0.6674,0.4984,-7.23,56.23,2.22,0.47,0.00,8.18,0.23,-4.64,"1,906,600",9.8,90.3,62.0,1.7,6.5,256.3,1.9,1.61,4.2,5,2
Energy,Crescent Point Energy,CPG,EN 08,2014,0.87,0.87,0.0,2.25,0.87,0.0501,0.1471,0.2101,0.0309,1.22,0.383,0.617,0.6206,-9.16,24.65,1.97,0.39,0.00,8.26,0.21,-24.49,"3,200,100",6.2,23.3,41.9,1.1,4.2,32.0,1.2,2.76,4.4,5,2
Energy,Crescent Point Energy,CPG,EN 08,2015,1.01,1.01,0.03,2.34,1.01,-0.0859,-0.3681,0.1342,-0.0494,-1.82,0.4252,0.5748,0.7399,9.02,1.57,3.36,0.26,0.00,7.23,0.13,211.10,"2,232,100",4.6,-75.9,89.9,0.8,4.9,-22.2,0.8,1.2,3.1,3,2
Energy,Crescent Point Energy,CPG,EN 08,2016,0.48,0.48,0.02,1.81,0.48,-0.0972,-0.4269,0.1352,-0.0577,-1.81,0.4066,0.5934,0.6853,7.44,2.15,6.05,0.23,0.00,6.51,0.14,-4.98,"1,086,900",8.2,-15.7,20.0,1.0,6.4,-12.3,1.0,0.36,2.6,4,1
Energy,Crescent Point Energy,CPG,EN 08,2017,0.59,0.59,0.07,1.99,0.59,-0.0135,-0.0434,0.1786,-0.0077,-0.23,0.4275,0.5725,0.7468,-0.85,7.01,3.72,0.25,0.00,7.52,0.18,-8.07,"1,840,300",5.4,-12.6,-100.6,0.7,3.5,-9.0,0.6,0.36,2.9,6,1
Energy,Crescent Point Energy,CPG,EN 08,2018,0.85,0.85,0.02,2.54,0.85,-0.3957,-0.8017,0.2564,-0.2056,-4.77,0.4806,0.5194,0.9251,20.72,2.97,2.90,0.29,0.00,10.12,0.26,-32.00,"2,112,800",4.1,85.5,-93.0,0.5,1.8,-8.1,0.3,0.36,-0.2,5,0
Energy,Crescent Point Energy,CPG,EN 08,2019,0.81,0.81,0.07,2.25,0.81,-0.1934,-0.3591,0.2851,-0.1024,-1.89,0.4706,0.5294,0.8889,5.65,1.24,2.62,0.37,0.00,9.72,0.29,-20.01,"1,814,600",2.8,-2.3,17.1,0.7,2.4,-1.3,0.5,0.04,-0.1,7,0
Energy,Crescent Point Energy,CPG,EN 08,2020,0.42,0.42,0.01,1.29,0.42,-0.8927,-1.6935,0.2239,-0.3792,-4.76,0.5753,0.4247,1.3544,26.09,1.11,4.07,0.23,0.00,7.42,0.22,-3.81,"938,800",3.7,-0.9,2.2,0.8,2.4,-0.5,0.5,0.01,-7.1,3,0
Energy,Crescent Point Energy,CPG,EN 08,2021,0.4,0.4,0.01,1.45,0.4,0.4374,0.8355,0.3085,0.2578,4.15,0.4106,0.5894,0.6967,-33.58,4.04,0.92,0.4,0.00,9.00,0.31,-4.55,"4,089,300",1.7,2.2,2.9,0.8,2.6,1.8,0.7,0.12,2.4,7,1
Energy,Crescent Point Energy,CPG,EN 08,2022,0.8,0.8,0.23,1.77,0.8,0.2284,0.3715,0.4209,0.1564,2.62,0.3155,0.6845,0.4609,-28.00,3.09,1.28,0.73,0.00,12.18,0.42,-15.98,"2,330,700",2.9,3.4,14.6,0.8,1.7,3.6,0.8,0.355,3.0,7,2
Energy,Enbridge,ENB,EN 09,2013,0.65,0.54,0.07,0.31,0.65,0.0339,0.0191,0.5718,0.0086,0.55,0.6775,0.3225,2.1012,-1.70,2.16,14.26,0.09,24.04,8.33,0.57,-8.71,"2,735,000",19.5,32.0,-19.6,1.7,2.1,41.0,4.6,1.05,3.6,6,2
Energy,Enbridge,ENB,EN 09,2014,0.86,0.74,0.13,0.27,0.86,0.0667,0.0373,0.5175,0.0221,1.34,0.7106,0.2894,2.4556,-3.04,0.65,10.82,0.05,25.68,10.50,0.52,-28.95,"4,777,000",23.9,41.0,-13.2,1.7,2.3,67.7,4.7,1.86,3.9,6,2
Energy,Enbridge,ENB,EN 09,2015,0.7,0.6,0.09,0.42,0.7,0.0112,0.0074,0.3999,-0.0019,-0.044,0.7357,0.2643,2.7833,-1.01,1.73,14.06,0.07,22.72,9.50,0.4,-10.50,"4,422,000",19.6,35.2,-20.0,1.4,2.5,-121.5,3.5,2.12,3.6,3,2
Energy,Enbridge,ENB,EN 09,2016,0.63,0.53,0.12,0.42,0.63,0.0816,0.0599,0.4056,0.0271,1.95,0.7024,0.2976,2.3606,-2.54,0.89,9.54,0.09,19.47,9.03,0.41,-7.59,"6,273,000",15.4,23.6,"-1,201.9",1.6,2.9,29.7,4.0,2.12,3.6,7,2
Energy,Enbridge,ENB,EN 09,2017,0.63,0.53,0.03,0.46,0.63,0.041,0.0644,0.2738,0.0201,1.66,0.5694,0.4306,1.3223,-1.22,0.75,9.67,0.07,18.74,8.26,0.27,-8.20,"9,547,000",18.3,28.6,"-1,812.2",1.2,3.7,30.9,1.7,2.684,4.0,5,2
Energy,Enbridge,ENB,EN 09,2018,0.58,0.49,0.03,0.71,0.58,0.0392,0.0621,0.2779,0.02,1.46,0.56,0.44,1.2728,-2.32,1.12,9.06,0.11,21.96,9.68,0.28,-7.38,"10,315,000",14.6,21.0,67.8,1.2,3.2,52.5,1.6,2.952,4.0,7,2
Energy,Enbridge,ENB,EN 09,2019,0.55,0.47,0.04,0.59,0.55,0.0822,0.1139,0.3069,0.0357,2.64,0.5746,0.4254,1.3507,-3.83,1.28,7.70,0.1,23.87,9.57,0.31,-6.97,"12,175,000",14.4,20.2,63.4,1.3,3.4,18.4,1.7,3.24,4.0,6,2
Energy,Enbridge,ENB,EN 09,2020,0.53,0.42,0.03,0.7,0.53,0.0523,0.086,0.2439,0.0213,1.48,0.5984,0.4016,1.4902,-2.50,1.35,8.12,0.1,13.46,9.80,0.24,-5.90,"11,817,000",12.4,17.9,27.2,1.2,3.5,42.2,1.4,3.34,3.8,4,2
Energy,Enbridge,ENB,EN 09,2021,0.49,0.4,0.02,0.51,0.49,0.0977,0.1315,0.2788,0.0374,2.87,0.6247,0.3753,1.6648,-3.91,1.88,8.92,0.09,17.19,9.30,0.28,-5.08,"11,828,000",14.4,21.3,67.3,1.3,3.8,17.4,1.8,3.44,3.6,5,2
Energy,Enbridge,ENB,EN 09,2022,0.6,0.49,0.04,0.55,0.6,0.0474,0.0563,0.2968,0.0164,1.28,0.647,0.353,1.833,-2.43,1.29,9.12,0.1,14.45,9.30,0.3,-6.54,"12,740,000",14.4,21.7,31.9,1.4,3.4,41.9,2.0,3.55,3.5,6,2
Energy,Enerplus,ERF,EN 10,2013,0.49,0.49,0.01,1.59,0.49,0.0248,0.0374,0.3482,0.013,0.24,0.4752,0.5248,0.9054,-2.48,5.09,2.34,0.44,0.00,38.57,0.35,-5.17,"746,603",6.1,14.4,-69.9,1.2,3.7,-14.8,1.2,0.63,3.0,7,2
Energy,Enerplus,ERF,EN 10,2014,0.89,0.89,0.0,1.64,0.89,0.1345,0.207,0.3583,0.0742,1.46,0.4486,0.5514,0.8134,-7.95,3.94,1.61,0.44,0.00,37.14,0.36,-26.98,"1,124,225",3.5,8.9,-12.4,1.0,2.3,12.5,1.1,1.08,4.5,7,2
Energy,Enerplus,ERF,EN 10,2015,0.88,0.88,0.03,1.86,0.88,-1.6969,-1.8277,0.3229,-0.5902,-7.39,0.6522,0.3478,1.8752,24.44,2.74,4.04,0.28,0.00,43.03,0.32,-28.54,"417,173",3.0,11.7,-102.0,0.8,2.2,-1.3,0.6,0.36,-1.2,2,0
Energy,Enerplus,ERF,EN 10,2016,2.1,2.1,0.01,1.27,2.1,0.2721,0.5799,0.2597,0.1506,1.75,0.4465,0.5535,0.8068,-4.53,0.71,5.49,0.27,0.00,6.02,0.26,2.54,"214,535",15.1,-27.5,98.2,2.7,5.4,-2.8,5.0,0.12,1.2,7,0
Energy,Enerplus,ERF,EN 10,2017,1.79,1.79,1.27,1.75,1.79,0.1481,0.2736,0.3274,0.0896,0.98,0.395,0.605,0.6529,-9.24,5.23,2.10,0.46,0.00,6.70,0.33,4.05,"498,018",7.4,16.9,-20.7,1.5,4.0,2.8,1.9,0.12,2.9,7,1
Energy,Enerplus,ERF,EN 10,2018,1.78,1.78,1.03,2.08,1.78,0.189,0.3138,0.3866,0.1213,1.55,0.3583,0.6417,0.5584,-14.08,11.22,1.31,0.66,0.00,8.30,0.39,4.34,"856,175",5.2,11.3,-66.5,1.1,2.4,17.0,1.4,0.12,5.0,8,2
Energy,Enerplus,ERF,EN 10,2019,0.88,0.88,0.36,1.61,0.88,-0.1802,-0.2314,0.4465,-0.1033,-1.15,0.4265,0.5735,0.7436,5.57,7.42,1.87,0.62,0.00,6.50,0.45,-22.49,"586,655.185",3.0,4.8,-26.4,1.0,2.3,5.0,1.1,0.12,2.5,4,1
Energy,Enerplus,ERF,EN 10,2020,0.59,0.59,0.29,1.09,0.59,-1.6471,-1.3429,0.448,-0.6016,-3.97,0.6347,0.3653,1.7376,42.03,3.28,2.89,0.46,0.00,6.18,0.45,-4.13,"322,162.747",3.3,16.0,12.0,1.1,1.8,-0.8,1.2,0.12,-3.6,3,0
Energy,Enerplus,ERF,EN 10,2021,0.49,0.49,0.1,0.97,0.49,0.3848,0.1698,0.6938,0.1178,1.18,0.6938,0.3062,2.2661,-13.26,5.55,2.20,0.44,0.00,6.06,0.69,-4.38,"794,935.404",10.8,33.8,13.3,2.5,3.4,-40.1,4.9,0.1879,0.2,6,0
Energy,Enerplus,ERF,EN 10,2022,0.81,0.81,0.08,2.33,0.81,0.8492,0.4182,1.1282,0.4718,5.29,0.4445,0.5555,0.8001,-50.18,2.52,0.62,1.36,0.00,7.90,1.13,-22.90,"1,893,336.601",2.3,3.0,7.4,2.4,1.5,3.3,2.8,0.2979,5.5,9,2
Energy,Freehold Royalties,FRU,EN 11,2013,1.16,1.16,0.01,4.21,1.16,0.1967,0.3302,0.4095,0.1352,0.86,0.3127,0.6873,0.455,-31.48,36.51,0.94,0.7,0.00,6.85,0.41,48.46,"142,184",10.9,19.5,25.4,4.4,8.8,26.1,5.0,0.98,5.6,6,2
Energy,Freehold Royalties,FRU,EN 11,2014,1.12,1.12,0.04,4.98,1.12,0.1579,0.3422,0.2972,0.1017,0.94,0.3558,0.6442,0.5522,-21.27,30.51,1.44,0.58,0.00,7.35,0.3,60.87,"161,332",9.7,16.0,-17.7,2.8,8.0,20.5,3.3,1.68,5.1,4,2
Energy,Freehold Royalties,FRU,EN 11,2015,1.3,1.3,0.05,6.52,1.3,-0.0055,-0.0306,0.142,-0.0043,-0.045,0.2095,0.7905,0.265,1.74,19.40,3.21,0.56,0.00,6.34,0.14,26.40,"61,250",11.2,-121.1,-3.2,1.3,8.6,74.4,1.4,0.84,5.9,4,2
Energy,Freehold Royalties,FRU,EN 11,2016,1.77,1.77,0.06,6.6,1.77,-0.0126,-0.0868,0.1277,-0.0111,-0.1,0.1218,0.8782,0.1388,2.11,1.28,1.28,0.76,0.00,5.35,0.13,11.87,"96,086",33.6,-82.6,7.6,1.8,14.4,-82.6,1.9,0.48,9.6,4,2
Energy,Freehold Royalties,FRU,EN 11,2017,2.15,2.15,0.02,6.39,2.15,0.0147,0.0811,0.1576,0.0128,0.1,0.1304,0.8696,0.1499,-7.54,45.80,1.01,0.96,0.00,5.81,0.16,7.05,"124,065",14.0,124.6,21.0,1.9,11.2,75.7,1.9,0.6,8.9,7,2
Energy,Freehold Royalties,FRU,EN 11,2018,1.05,1.05,0.09,9.81,1.05,0.0181,0.0971,0.1627,0.0158,0.12,0.128,0.872,0.1468,-6.18,35.93,0.91,1.17,0.00,11.17,0.16,231.27,"125,256",7.8,45.2,56.3,1.2,6.8,96.5,1.2,0.63,8.8,6,2
Energy,Freehold Royalties,FRU,EN 11,2019,2.23,2.23,0.1,9.02,2.23,0.0073,0.0369,0.1677,0.0062,0.044,0.1577,0.8423,0.1872,-3.10,26.20,1.23,0.8,0.00,5.66,0.17,9.80,"107,622",8.9,-422.3,17.3,1.2,7.6,-169.9,1.2,0.63,6.9,6,2
Energy,Freehold Royalties,FRU,EN 11,2020,1.4,1.4,0.02,0.97,1.4,-0.0211,-0.1549,0.1084,-0.0168,-0.12,0.2054,0.7946,0.2585,4.23,3.41,2.26,0.39,0.00,5.62,0.11,3.30,"75,328",10.2,-105.1,16.0,0.9,7.2,-75.5,0.9,0.24,5.0,5,2
Energy,Freehold Royalties,FRU,EN 11,2021,3.43,3.43,0.12,8.79,3.43,0.0809,0.3449,0.1952,0.0673,0.53,0.1677,0.8323,0.2015,-29.04,45.31,0.96,0.9,0.00,4.51,0.2,4.67,"186,669",13.3,32.4,-9.1,1.9,11.8,42.5,2.0,0.72,7.5,7,2
Energy,Freehold Royalties,FRU,EN 11,2022,1.56,1.56,0.01,6.37,1.56,0.2178,0.5323,0.3243,0.1726,1.39,0.2076,0.7924,0.2621,-45.61,52.59,0.70,1.3,0.00,6.82,0.32,13.72,"360,275",6.3,8.8,19.4,2.0,5.7,10.0,2.2,1.08,7.4,7,2
Energy,Gibson Energy Inc.,GEI,EN 12,2013,1.41,1.16,0.16,0.53,1.41,0.0759,0.015,2.2761,0.034,0.86,0.5512,0.4488,1.228,-3.66,0.45,4.12,0.2,42.62,11.97,2.28,26.93,"408,239",10.2,17.9,25.2,1.9,0.6,28.0,2.5,0.55,5.2,5,2
Energy,Gibson Energy Inc.,GEI,EN 12,2014,1.51,1.27,0.21,0.53,1.51,0.0644,0.0107,2.3995,0.0257,0.74,0.6006,0.3994,1.5036,-2.91,4.99,5.06,0.16,53.57,14.39,2.4,26.18,"423,747",10.2,19.1,-95.2,1.7,0.5,34.1,2.4,1.2,4.9,5,2
Energy,Gibson Energy Inc.,GEI,EN 12,2015,1.17,0.96,0.16,0.9,1.17,-0.2405,-0.0519,1.6465,-0.0855,-2.35,0.6445,0.3555,1.8132,2.91,5.77,6.47,0.22,49.10,15.33,1.65,62.55,"327,189",8.0,22.0,24.2,1.1,0.5,-31.7,1.3,1.28,3.2,3,2
Energy,Gibson Energy Inc.,GEI,EN 12,2016,1.64,1.39,0.11,0.37,1.64,-0.1511,-0.0348,1.4087,-0.049,-1.32,0.6759,0.3241,2.0852,1.74,0.37,10.79,0.09,31.53,11.16,1.41,12.67,"204,223",21.4,-49.3,-148.2,1.6,0.9,-7.6,2.4,1.32,3.2,4,2
Energy,Gibson Energy Inc.,GEI,EN 12,2017,1.31,1.01,0.06,0.36,1.31,0.0485,0.0078,1.9092,0.0149,-0.47,0.6928,0.3072,2.2555,0.62,0.18,9.93,0.1,32.43,11.77,1.91,32.64,"206,932",16.5,47.8,141.6,1.7,0.7,-42.6,2.5,1.32,2.8,7,1
Energy,Gibson Energy Inc.,GEI,EN 12,2018,1.17,1.02,0.16,0.96,1.17,0.1992,0.0221,2.4369,0.0538,0.56,0.7301,0.2699,2.7054,-2.85,2.70,5.22,0.27,76.42,25.10,2.44,70.37,"393,248",12.2,23.1,-78.7,1.9,0.6,-122.7,3.4,1.32,2.8,6,1
Energy,Gibson Energy Inc.,GEI,EN 12,2019,1.16,0.93,0.08,0.63,1.16,0.2405,0.0249,2.4646,0.0614,1.21,0.7445,0.2555,2.9136,-3.72,0.72,5.44,0.17,51.05,17.57,2.46,76.57,"407,319",11.9,16.3,18.0,2.2,0.7,20.8,5.0,1.32,2.9,6,1
Energy,Gibson Energy Inc.,GEI,EN 12,2020,1.1,0.79,0.1,0.86,1.1,0.1785,0.0246,1.61,0.0396,0.83,0.7784,0.2216,3.5129,-3.33,0.55,6.31,0.19,28.40,15.02,1.61,91.85,"378,558",10.2,15.4,29.0,2.0,0.8,20.6,4.1,1.36,2.6,4,1
Energy,Gibson Energy Inc.,GEI,EN 12,2021,1.26,0.94,0.08,0.27,1.26,0.2252,0.0201,2.1013,0.0423,0.99,0.8123,0.1877,4.3278,-3.95,2.21,7.31,0.08,27.10,10.97,2.1,34.35,"381,236",13.6,23.3,58.6,2.1,0.7,28.9,5.1,1.4,2.9,6,1
Energy,Gibson Energy Inc.,GEI,EN 12,2022,1.2,0.82,0.12,0.87,1.2,0.3896,0.0202,3.454,0.0699,1.53,0.8207,0.1793,4.5758,-5.47,5.19,5.83,0.23,41.28,24.44,3.45,81.24,"449,443",10.7,14.5,17.8,2.2,0.4,16.7,5.5,1.48,2.9,6,1
Energy,Keyera Corp.,KEY,EN 13,2013,1.64,1.27,0.39,0.8,1.64,0.159,0.0448,1.0741,0.0481,0.94,0.6973,0.3027,2.3031,-5.89,0.24,5.68,0.18,16.26,8.04,1.07,10.68,"374,727",15.0,20.8,-206.7,3.2,1.9,29.8,5.5,0.7,4.9,6,2
Energy,Keyera Corp.,KEY,EN 13,2014,1.15,0.92,0.02,0.85,1.15,0.1745,0.0635,0.941,0.0597,1.4,0.6577,0.3423,1.9213,-8.97,2.30,4.30,0.18,23.75,8.99,0.94,44.89,"588,792",15.6,21.2,-26.3,3.2,2.2,29.1,5.2,1.29,4.7,6,2
Energy,Keyera Corp.,KEY,EN 13,2015,0.87,0.73,0.02,1.15,0.87,0.1444,0.0801,0.5868,0.047,1.19,0.6746,0.3254,2.0728,-6.66,0.58,4.40,0.22,23.10,7.33,0.59,-34.24,"659,182",12.7,17.2,-46.6,2.8,3.0,32.6,4.9,1.5,4.3,4,2
Energy,Keyera Corp.,KEY,EN 13,2016,1.09,0.88,0.03,0.78,1.09,0.1178,0.0867,0.5044,0.0437,1.21,0.6285,0.3715,1.6918,-5.95,0.24,5.49,0.13,17.19,6.87,0.5,53.97,"567,376",15.3,22.6,-48.3,2.7,3.7,37.0,4.1,1.59,4.4,5,2
Energy,Keyera Corp.,KEY,EN 13,2017,1.56,1.31,0.54,0.85,1.56,0.1169,0.0849,0.5811,0.0494,1.53,0.5779,0.4221,1.3693,-7.37,0.14,5.45,0.15,18.33,7.84,0.58,10.14,"622,341",16.1,22.9,-31.6,2.3,3.0,30.6,3.7,1.68,4.8,7,2
Energy,Keyera Corp.,KEY,EN 13,2018,1.0,0.68,0.0,0.82,1.0,0.1438,0.0902,0.6737,0.0608,1.94,0.5774,0.4226,1.3661,-9.29,0.86,4.37,0.16,14.81,10.56,0.67,"3,580.76","876,263",9.9,13.6,-12.0,1.6,1.8,17.0,2.1,1.8,4.7,6,2
Energy,Keyera Corp.,KEY,EN 13,2019,0.8,0.69,0.01,1.09,0.8,0.1453,0.1226,0.4813,0.059,2.07,0.5936,0.4064,1.4606,-5.53,0.82,5.30,0.2,27.89,7.40,0.48,-22.51,"842,197",10.6,14.4,-54.7,1.7,2.7,12.5,2.4,1.92,4.4,4,2
Energy,Keyera Corp.,KEY,EN 13,2020,1.3,0.97,0.01,1.38,1.3,0.0225,0.0206,0.3983,0.0082,0.28,0.6349,0.3651,1.7389,-1.61,1.02,5.88,0.14,12.73,6.73,0.4,20.38,"816,917",9.4,12.9,-83.3,1.3,2.5,30.0,1.7,1.92,4.3,5,2
Energy,Keyera Corp.,KEY,EN 13,2021,1.2,0.9,0.02,0.64,1.2,0.122,0.065,0.6131,0.0399,1.47,0.6731,0.3269,2.0592,-3.72,0.67,6.12,0.11,14.03,6.64,0.61,26.78,"893,993",13.5,20.8,42.0,1.6,2.5,39.5,2.4,1.92,4.3,6,2
Energy,Keyera Corp.,KEY,EN 13,2022,1.11,0.81,0.0,0.93,1.11,0.1165,0.0465,0.824,0.0383,1.48,0.671,0.329,2.0397,-3.79,0.81,5.63,0.16,19.56,9.96,0.82,65.29,"1,020,902",10.9,14.1,146.3,1.7,1.6,22.1,2.6,1.92,4.3,4,2
Energy,MEG Energy Corp,MEG,EN 14,2013,3.33,3.04,2.62,0.28,3.33,-0.0348,-0.1247,0.1413,-0.0176,-0.75,0.4932,0.5068,0.973,0.65,1.24,15.68,0.03,5.60,7.63,0.14,1.28,"297,177",44.5,192.1,-4.5,1.2,8.8,-75.3,1.7,0.0,5.1,3,2
Energy,MEG Energy Corp,MEG,EN 14,2014,2.14,1.81,1.42,1.66,2.14,-0.0221,-0.0373,0.285,-0.0106,-0.47,0.5198,0.4802,1.0826,-0.89,3.85,5.63,0.15,9.08,16.89,0.28,5.38,"916,750",16.3,28.1,-8.5,0.9,4.8,68.2,1.5,0.0,4.9,5,2
Energy,MEG Energy Corp,MEG,EN 14,2015,2.46,2.25,1.64,0.45,2.46,-0.318,-0.6073,0.2049,-0.1244,-5.21,0.6087,0.3913,1.5559,3.86,0.41,28.00,0.02,22.23,14.79,0.2,5.30,"204,360",10.2,33.0,-31.4,0.7,2.6,-2.7,0.4,0.0,3.5,3,2
Energy,MEG Energy Corp,MEG,EN 14,2016,1.27,1.08,0.43,-0.26,1.27,-0.1304,-0.2303,0.2087,-0.0481,-1.9,0.6316,0.3684,1.7143,0.92,0.27,36.17,-0.02,18.38,8.50,0.21,19.31,"155,770",308.2,-12.7,459.0,0.8,3.6,-1.8,0.4,0.0,3.0,3,2
Energy,MEG Energy Corp,MEG,EN 14,2017,1.6,1.43,0.88,0.61,1.6,0.0419,0.0671,0.2643,0.0177,0.57,0.5766,0.4234,1.362,-1.32,0.23,8.66,0.06,16.88,9.28,0.26,7.91,"623,324",11.9,495.7,29.1,0.7,2.7,-5.2,0.4,0.0,3.8,8,2
Energy,MEG Energy Corp,MEG,EN 14,2018,1.62,1.41,0.68,0.6,1.62,-0.0306,-0.0435,0.325,-0.0141,-0.4,0.538,0.462,1.1647,-0.39,0.18,8.20,0.06,18.81,13.67,0.32,9.46,"552,000",13.7,-77.6,-131.9,0.7,2.0,107.8,0.6,0.0,3.8,5,2
Energy,MEG Energy Corp,MEG,EN 14,2019,1.22,1.05,0.37,1.13,1.22,-0.0161,-0.0158,0.4997,-0.0079,-0.21,0.5102,0.4898,1.0415,-0.68,0.78,4.95,0.16,26.54,10.89,0.5,31.96,"810,000",4.8,16.3,16.6,0.8,1.6,-9.0,0.5,0.0,3.9,6,2
Energy,MEG Energy Corp,MEG,EN 14,2020,1.12,0.91,0.26,0.68,1.12,-0.1018,-0.1558,0.3173,-0.0494,-1.18,0.5147,0.4853,1.0605,0.81,0.15,6.53,0.08,18.99,8.71,0.32,41.67,"569,000",6.4,54.0,9.6,0.7,1.4,-2.7,0.2,0.0,3.2,2,2
Energy,MEG Energy Corp,MEG,EN 14,2021,1.17,0.99,0.4,0.77,1.17,0.0743,0.0655,0.5691,0.0373,0.92,0.4985,0.5015,0.994,-2.52,0.60,3.63,0.18,13.99,8.96,0.57,28.62,"1,043,000",14.7,213.4,14.1,1.0,1.8,52.3,0.9,0.0,4.2,8,2
Energy,MEG Energy Corp,MEG,EN 14,2022,1.44,1.16,0.29,2.89,1.44,0.2058,0.1474,0.8699,0.1283,2.97,0.3768,0.6232,0.6046,-7.87,1.24,1.29,0.71,16.12,12.88,0.87,21.17,"2,047,000",3.6,4.6,7.8,1.2,1.2,5.7,1.1,0.0,6.3,9,2
Energy,NexGen Energy,NXE,EN 15,2013,31.48,31.48,30.09,-11.5,31.48,-0.0902,0.0,0.0,-0.0862,-0.035,0.0437,0.9563,0.0457,-115.11,97.76,-0.49,-1.69,0.00,0.00,0.0,0.00,"-3,520.253",-12.0,-12.0,-5.2,1.0,0,-14.8,1.2,0.0,26.5,2,2
Energy,NexGen Energy,NXE,EN 15,2014,8.13,8.13,7.98,-1.17,8.13,-0.1521,0.0,0.0,-0.1469,-0.06,0.0341,0.9659,0.0353,-68.12,16.26,-0.58,-1.04,0.00,0.00,0.0,0.00,"-3,380.249",-21.9,-21.3,-4.5,1.4,0,-24.1,1.5,0.0,32.6,3,2
